"REF_DATE","GEO","DGUID","Fuel type","Supply and demand characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Canada","2016A000011124","Natural gas","Public administration","Terajoules","283","units","0","v54272861","1.5.45","29020","","","","0"
"2015","Canada","2016A000011124","Natural gas","Commercial and other institutional","Terajoules","283","units","0","v54272862","1.5.46","483693","","","","0"
"2016","Canada","2016A000011124","Natural gas","Commercial and other institutional","Terajoules","283","units","0","v54272862","1.5.46","515346","","","","0"
"2017","Canada","2016A000011124","Natural gas","Commercial and other institutional","Terajoules","283","units","0","v54272862","1.5.46","556317","","","","0"
"2018","Canada","2016A000011124","Natural gas","Commercial and other institutional","Terajoules","283","units","0","v54272862","1.5.46","590651","","","","0"
"2019","Canada","2016A000011124","Natural gas","Commercial and other institutional","Terajoules","283","units","0","v54272862","1.5.46","627256","","","","0"
"2020","Canada","2016A000011124","Natural gas","Commercial and other institutional","Terajoules","283","units","0","v54272862","1.5.46","610692","","","","0"
"2015","Canada","2016A000011124","Natural gas","Statistical difference","Terajoules","283","units","0","v62306413","1.5.47","","x","","","0"
"2016","Canada","2016A000011124","Natural gas","Statistical difference","Terajoules","283","units","0","v62306413","1.5.47","","x","","","0"
"2017","Canada","2016A000011124","Natural gas","Statistical difference","Terajoules","283","units","0","v62306413","1.5.47","","x","","","0"
"2018","Canada","2016A000011124","Natural gas","Statistical difference","Terajoules","283","units","0","v62306413","1.5.47","-98851","","","","0"
"2019","Canada","2016A000011124","Natural gas","Statistical difference","Terajoules","283","units","0","v62306413","1.5.47","-10977","","","","0"
"2020","Canada","2016A000011124","Natural gas","Statistical difference","Terajoules","283","units","0","v62306413","1.5.47","-10011","","","","0"
"2015","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Energy use, final demand","Terajoules","283","units","0","v54272872","1.6.18","126133","","","","0"
"2016","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Energy use, final demand","Terajoules","283","units","0","v54272872","1.6.18","130540","","","","0"
"2017","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Energy use, final demand","Terajoules","283","units","0","v54272872","1.6.18","139562","","","","0"
"2018","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Energy use, final demand","Terajoules","283","units","0","v54272872","1.6.18","144900","","","","0"
"2019","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Energy use, final demand","Terajoules","283","units","0","v54272872","1.6.18","148802","","","","0"
"2020","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Energy use, final demand","Terajoules","283","units","0","v54272872","1.6.18","135126","","","","0"
"2015","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Total industrial","Terajoules","283","units","0","v54272879","1.6.31","57444","","","","0"
"2016","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Total industrial","Terajoules","283","units","0","v54272879","1.6.31","52922","","","","0"
"2017","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Total industrial","Terajoules","283","units","0","v54272879","1.6.31","60254","","","","0"
"2018","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Total industrial","Terajoules","283","units","0","v54272879","1.6.31","71476","","","","0"
"2019","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Total industrial","Terajoules","283","units","0","v54272879","1.6.31","72412","","","","0"
"2020","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Total industrial","Terajoules","283","units","0","v54272879","1.6.31","66679","","","","0"
"2015","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Total transportation","Terajoules","283","units","0","v54272882","1.6.42","10716","","","","0"
"2016","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Total transportation","Terajoules","283","units","0","v54272882","1.6.42","12076","","","","0"
"2017","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Total transportation","Terajoules","283","units","0","v54272882","1.6.42","11960","","","","0"
"2018","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Total transportation","Terajoules","283","units","0","v54272882","1.6.42","11699","","","","0"
